name,category,organization,year,task,sensor,resolution,size,classes,coverage,license,project,github,huggingface,kaggle,earthengine,nasa_earthdata,paper,zenodo,other_links,verified_status
RS5M,"13. Large-Scale Additions From GitHub, Kaggle, and Hugging Face",OM AI Lab,2024,"Vision-language pre-training, image-text retrieval, zero-shot classification",Remote-sensing image collections from multiple sources,Mixed,5 million image-text pairs,Free-text captions,Global / mixed,See repository and dataset card,,https://github.com/om-ai-lab/RS5M,https://huggingface.co/datasets/omlab/RS5M,,,,https://arxiv.org/abs/2306.11300,,,metadata-only
RSTeller,"13. Large-Scale Additions From GitHub, Kaggle, and Hugging Face",RSTeller authors,2024,Vision-language pre-training and instruction tuning,Remote-sensing imagery with generated rich linguistic annotations,Mixed,Large-scale image-text dataset; Hugging Face legacy shard includes millions of records,"Captions, region descriptions, instruction-style text",Global / mixed,See dataset card,,https://github.com/SlytherinGe/RSTeller,https://huggingface.co/datasets/SlytherinGe/RSTeller_legacy,,,,https://arxiv.org/abs/2408.14744,,,metadata-only
BigEarthNet.txt,"13. Large-Scale Additions From GitHub, Kaggle, and Hugging Face",BIFOLD / BigEarthNet team,2026,"Vision-language benchmarking, captioning, VQA, referring expression grounding","Sentinel-1, Sentinel-2",10 m,"464,044 co-registered S1/S2 image pairs with ~9.6M text annotations","Captions, VQA pairs, referring expressions",Europe,See dataset card,https://txt.bigearth.net,,https://huggingface.co/datasets/BIFOLD-BigEarthNetv2-0/BigEarthNet.txt,,,,https://arxiv.org/abs/2603.29630,,,metadata-only
FIT-RS,"13. Large-Scale Additions From GitHub, Kaggle, and Hugging Face",SkySenseGPT authors,2024,Fine-grained instruction tuning for remote-sensing VLMs,Remote-sensing image collections,Mixed,~1.8M instruction-tuning samples,Instruction-answer pairs,Mixed,See dataset card,,https://github.com/Luo-Z13/SkySenseGPT,https://huggingface.co/datasets/ll-13/FIT-RS,,,,https://arxiv.org/abs/2406.10100,,,metadata-only
RS-GPT4V,"13. Large-Scale Additions From GitHub, Kaggle, and Hugging Face",GeoX Lab,2024,Multimodal instruction-following for remote-sensing image understanding,Remote-sensing imagery,Mixed,~991k instruction samples,Instruction-answer pairs,Mixed,See repository,,https://github.com/GeoX-Lab/RS-GPT4V,,,,,https://arxiv.org/abs/2406.09385,,,metadata-only
SkyEye-968k,"13. Large-Scale Additions From GitHub, Kaggle, and Hugging Face",Northwestern Polytechnical University,2024,Remote-sensing vision-language instruction tuning,Remote-sensing imagery,Mixed,968k instruction-tuning samples,Instruction-answer pairs,Mixed,See dataset card,,https://github.com/ZhanYang-nwpu/SkyEyeGPT,https://huggingface.co/datasets/ZhanYang-nwpu/SkyEye-968k,,,,https://arxiv.org/abs/2401.09712,,,metadata-only
MMRS-1M,"13. Large-Scale Additions From GitHub, Kaggle, and Hugging Face",EarthGPT authors,2024,Multisensor remote-sensing MLLM training,Multisensor remote-sensing imagery,Mixed,>1M multimodal instruction samples,Instruction-answer pairs,Mixed,See repository,,https://github.com/wivizhang/EarthGPT,,,,,https://arxiv.org/abs/2401.16822,,,metadata-only
DDFAV,"13. Large-Scale Additions From GitHub, Kaggle, and Hugging Face",DDFAV authors,2024,Remote-sensing large vision-language model dataset and evaluation benchmark,Remote-sensing imagery,Mixed,27.7k high-quality samples,Vision-language instructions / evaluation labels,Mixed,See repository,,https://github.com/HaodongLi2024/rspope,,,,,https://arxiv.org/abs/2411.02733,,,metadata-only
VRSBench,"13. Large-Scale Additions From GitHub, Kaggle, and Hugging Face",VRSBench authors,2024,"Remote-sensing captioning, VQA, and visual grounding benchmark",Remote-sensing imagery,Mixed,"29,614 human-verified remote-sensing images","Captions, question-answer pairs, grounding annotations",Mixed,See dataset card,,https://github.com/lx709/VRSBench,https://huggingface.co/datasets/xiang709/VRSBench,,,,https://arxiv.org/abs/2406.12384,,,metadata-only
DASP,"13. Large-Scale Additions From GitHub, Kaggle, and Hugging Face",Richard Erkhov,2025,Large-scale cloud-free Sentinel-2 imagery for analysis and model training,Sentinel-2,10–60 m depending on band,Curated from over 30 million Sentinel-2 images,Unlabeled,Near-global Sentinel-2 land coverage,CC-BY-SA-3.0,,,https://huggingface.co/datasets/RichardErkhov/DASP,,,,,,,metadata-only
Dynamic World,"13. Large-Scale Additions From GitHub, Kaggle, and Hugging Face",Google / World Resources Institute,2022,Near-real-time global land-cover labels,Sentinel-2,10 m,Global near-real-time probability maps and class labels,9 land-cover classes,Global,CC-BY-4.0,https://dynamicworld.app,https://github.com/google/dynamicworld,,,,,https://www.nature.com/articles/s41597-022-01307-4,,,metadata-only
ESA WorldCover,"13. Large-Scale Additions From GitHub, Kaggle, and Hugging Face",ESA,2020–2021 products,Global land-cover mapping,"Sentinel-1, Sentinel-2",10 m,Global 10 m land-cover maps,11 land-cover classes,Global,CC-BY-4.0,https://esa-worldcover.org/en/data-access,https://github.com/ESA-WorldCover,,,,,,,,metadata-only
Hansen Global Forest Change,"13. Large-Scale Additions From GitHub, Kaggle, and Hugging Face",University of Maryland GLAD,2013–2024 updates,Forest extent and annual forest-loss monitoring,Landsat,30 m,Global annual forest change product,"Tree cover, forest loss, forest gain",Global,See Earth Engine catalog,https://glad.earthengine.app/view/global-forest-change,,,,https://developers.google.com/earth-engine/datasets/catalog/UMD_hansen_global_forest_change_2024_v1_12,,https://www.science.org/doi/10.1126/science.1244693,,,metadata-only
MapBiomas,"13. Large-Scale Additions From GitHub, Kaggle, and Hugging Face",MapBiomas network,Annual collections,Annual land-use and land-cover time series,Landsat and other EO sources,30 m; newer 10 m products for selected collections,Continental/national annual land-cover products,Land-use and land-cover classes vary by collection,Brazil and other regional MapBiomas initiatives,See project terms,https://brasil.mapbiomas.org/colecoes-mapbiomas/,https://github.com/mapbiomas/user-toolkit,,,https://gee-community-catalog.org/projects/mapbiomas/,,,,,metadata-only
OpenSentinelMap,"13. Large-Scale Additions From GitHub, Kaggle, and Hugging Face",Vision Systems Inc. / collaborators,2022,Large-scale land-use classification using OSM labels,Sentinel-2,10 m,Large-scale Sentinel-2 land-use dataset derived from OpenStreetMap,OSM-derived land-use classes,Large geographic coverage,See paper/project terms,,,,,,,https://openaccess.thecvf.com/content/CVPR2022W/EarthVision/papers/Johnson_OpenSentinelMap_A_Large-Scale_Land_Use_Dataset_Using_OpenStreetMap_and_Sentinel-2_CVPRW_2022_paper.pdf,,,metadata-only
BigEarthNet Kaggle Mirror,"13. Large-Scale Additions From GitHub, Kaggle, and Hugging Face",TU Berlin,2019 / v2 2023,Multi-label scene classification,"Sentinel-1, Sentinel-2",10–60 m,"590,326 patches in v1; 549,488 S1/S2 patch pairs in v2",CORINE-derived land-cover classes,Europe,CDLA-Permissive-1.0 / see BigEarthNet terms,https://bigearth.net,,,https://www.kaggle.com/datasets/javidtheimmortal/bigearthnetsentinel1,,,https://arxiv.org/abs/1902.06148,,,metadata-only
DOTA Kaggle Mirror,"13. Large-Scale Additions From GitHub, Kaggle, and Hugging Face",Wuhan University,2018+,Oriented object detection in aerial imagery,Aerial / satellite imagery,Mixed,Large-scale aerial object detection dataset,"Object detection classes including vehicles, ships, planes, courts, harbors, bridges",Global / mixed,Research use; see DOTA terms,https://captain-whu.github.io/DOTA/,,,https://www.kaggle.com/datasets/chandlertimm/dota-data,,,https://arxiv.org/abs/1711.10398,,,metadata-only
DeepGlobe Land Cover Kaggle Mirror,"13. Large-Scale Additions From GitHub, Kaggle, and Hugging Face",DeepGlobe Challenge,2018,Land-cover semantic segmentation,DigitalGlobe,Sub-meter,Large high-resolution segmentation benchmark,7 land-cover classes,Global / mixed,DeepGlobe / DigitalGlobe challenge terms,,,,https://www.kaggle.com/datasets/balraj98/deepglobe-land-cover-classification-dataset,,,https://arxiv.org/abs/1805.06561,,,metadata-only
SpaceNet Kaggle / Hugging Face Mirrors,"13. Large-Scale Additions From GitHub, Kaggle, and Hugging Face",SpaceNet partners,2016–2020,"Building footprints, roads, off-nadir mapping, multi-temporal urban analysis","WorldView, Planet, other high-resolution imagery",Sub-meter to few-meter,"Multi-city, multi-challenge large benchmark series","Buildings, roads, urban change",Multiple global cities,CC-BY-SA-4.0 / challenge-specific terms,https://spacenet.ai/datasets/,https://github.com/SpaceNetChallenge,https://huggingface.co/datasets/aialliance/spacenet7,https://www.kaggle.com/datasets/sabermalek/spacenetsi,,,,,,metadata-only
xView Kaggle Mirror,"13. Large-Scale Additions From GitHub, Kaggle, and Hugging Face",DIU / xView team,2018,Large-scale object detection in overhead imagery,WorldView-3,0.3 m,">1M object instances across >1,400 km²",60 object classes,Global / mixed,Registration required; Kaggle mirror is converted YOLO format,http://xviewdataset.org,,,https://www.kaggle.com/datasets/ollypowell/xview-yolo-dataset,,,https://arxiv.org/abs/1802.07856,,,metadata-only
