name,website,country,city,industry_category,short_description,products_services,uses_gis,uses_remote_sensing,uses_drones,uses_lidar,uses_satellite_data,source_links,linkedin_url,followers,estimated_revenue,company_name,hq_country,hq_city,founded_year,status,main_product_or_service,product_category,core_use_cases,industry_verticals,delivery_model,target_customer_type,target_roles,regions_served,notable_customers,pricing_model,pricing_public,entry_price_or_plan,revenue_model,key_differentiators,main_competitors,partnerships,channel,go_to_market_notes,employee_count,linkedin_followers,funding,estimated_revenue_or_proxy,web_traffic_proxy,recent_news_or_launches,last_verified_date,data_sources,tech_stack_or_platform_notes,competitive_with_brooksie,potential_customer_of_brooksie,brooksie_as_customer_of_them
Meadowgate Technologies,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Meadowgate Technologies,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Megabit Sp z o o,,Poland,Warszawa,GIS / Esri partner,GIS / mapping platform,GIS and mapping platform,yes,unknown,unknown,unknown,unknown,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/megabit-sp-z-o-o-a2T70000000TNYoEAO,,,,Megabit Sp z o o,Poland,Warszawa,unknown,unknown,GIS and mapping platform,GIS / mapping platform,unknown,unknown,SaaS,enterprise,GIS analyst,unknown,unknown,unknown,unknown,unknown,unknown,GIS / mapping platform,Esri; Mapbox; CARTO; Felt; Atlas.co,Esri,partner-led,Partner-oriented GTM into enterprise accounts for GIS / mapping platform.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,GIS data,unknown,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.","Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.","Brooksie could use this for map rendering, visualization, geospatial UI components, or workflow integrations."
Mercom Corporation,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Mercom Corporation,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
"MetaCarta, Inc.",,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,"MetaCarta, Inc.",unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
MGS,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,1994,,MGS,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,1994,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
MGTS,,India,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,MGTS,India,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
MicroTec,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,MicroTec,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Miller Creek Associates,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,82,,Miller Creek Associates,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,82,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Mitsubishi Digital Electronics,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Mitsubishi Digital Electronics,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Mobile Xperience Concepts,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Mobile Xperience Concepts,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Mobinotech,,,unknown,earth observation / Planet partner,Partner brand listed in the Planet partner directory.,"Earth observation, geospatial analytics, or satellite data services",yes,yes,unknown,unknown,yes,https://partner.planet.com/directory/s/list | https://partner.planet.com/directory/s/accountbrand/0TUHp00000008P7OAI/mobinotech,,,,Mobinotech,unknown,unknown,unknown,unknown,"Earth observation, geospatial analytics, or satellite data services",earth observation analytics,geospatial analysis; satellite imagery analysis,unknown,services,enterprise,remote sensing analyst; data analyst,unknown,unknown,services,unknown,unknown,Services and project fees,earth observation analytics,Planet; Picterra; Brooksie AI; UP42,Planet,partner-led,Partner-oriented GTM into enterprise accounts for earth observation analytics.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,satellite imagery,unknown,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.",Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Monalee,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,3978,,Monalee,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,3978,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
MSHCAD,,India,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,MSHCAD,India,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Myr Projetos Sustentaveis,,Brazil,Belo Horizonte,GIS / Esri partner,"The MYR Group is a group of urban and environmental planning companies, oriented towards the sustainable and intelligent development of cities and regions.Focused on the...","Application Development, Business Case Development, Data Conversion/Migration, GIS Strategy and Planning, Hosting Services, Implementation, Needs and Requirements, System Integration",yes,unknown,unknown,unknown,unknown,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/myr-projetos-sustent-a2T70000000TZ8iEAG,,,,Myr Projetos Sustentaveis,Brazil,Belo Horizonte,unknown,unknown,"Application Development, Business Case Development, Data Conversion/Migration, GIS Strategy and Planning, Hosting Services, Implementation, Needs and Requirements, System...",GIS / mapping platform,unknown,environmental services,SaaS; services,enterprise,GIS analyst; planner,unknown,unknown,services,unknown,unknown,Services and project fees,GIS / mapping platform,Esri; Mapbox; CARTO; Felt; Atlas.co,Esri,partner-led,Partner-oriented GTM into enterprise accounts for GIS / mapping platform.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,GIS data; API integrations,unknown,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.","Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.","Brooksie could use this for map rendering, visualization, geospatial UI components, or workflow integrations."
n-Dimensional-GIS Solutions (NDGS),,India,unknown,geospatial software / GIS,GIS / mapping platform,GIS,yes,unknown,unknown,unknown,unknown,unknown,,,,n-Dimensional-GIS Solutions (NDGS),India,unknown,unknown,unknown,GIS,GIS / mapping platform,unknown,unknown,SaaS,enterprise,GIS analyst,unknown,unknown,unknown,unknown,unknown,unknown,GIS / mapping platform,Esri; Mapbox; CARTO; Felt; Atlas.co,unknown,direct,Direct website-led GTM into enterprise users for GIS / mapping platform.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,GIS data,unknown,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.","Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.","Brooksie could use this for map rendering, visualization, geospatial UI components, or workflow integrations."
NAID,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,NAID,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Naksha Consulting Group,,India,unknown,consulting / integration services,consulting / integration services,Geospatial consulting and integration services,unknown,unknown,unknown,unknown,unknown,unknown,,,,Naksha Consulting Group,India,unknown,unknown,unknown,Geospatial consulting and integration services,consulting / integration services,unknown,unknown,services,enterprise,unknown,unknown,unknown,services,unknown,unknown,Services and project fees,consulting / integration services,Esri partners; GIS consultancies; system integrators,unknown,direct,Direct website-led GTM into enterprise users for consulting / integration services.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,"Partial competitor in analysis delivery services, but not a direct AI-native platform substitute.","Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this company as an implementation, data-collection, or channel partner."
NAL Technologies,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,4453,,NAL Technologies,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,4453,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
NationalMap Limited,,,unknown,,unknown,,yes,unknown,unknown,unknown,unknown,unknown,,862,,NationalMap Limited,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,862,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Nectar Engineering and Software Solutions (NESS),,India,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Nectar Engineering and Software Solutions (NESS),India,unknown,unknown,unknown,unknown,unknown,unknown,AEC / infrastructure,SaaS,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
NerVve,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,NerVve,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
NET,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,NET,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Netlocity,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Netlocity,unknown,unknown,unknown,unknown,unknown,unknown,unknown,government,unknown,government,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into government users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
NetServices Incorporated,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,NetServices Incorporated,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,services,enterprise,unknown,unknown,unknown,services,unknown,unknown,Services and project fees,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Network General,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Network General,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Networks Requirements & Engineering Services Provider (NRESP),,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Networks Requirements & Engineering Services Provider (NRESP),unknown,unknown,unknown,unknown,unknown,unknown,unknown,AEC / infrastructure,services,enterprise,unknown,unknown,unknown,services,unknown,unknown,Services and project fees,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
NewVision GeoEngineering Solutions,,India,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,NewVision GeoEngineering Solutions,India,unknown,unknown,unknown,unknown,unknown,unknown,AEC / infrastructure,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
NextFED Inc.,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,NextFED Inc.,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
NJVC/Chenega,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,NJVC/Chenega,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
NomadIQ,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,677,,NomadIQ,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,677,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Nortel Government Solutions,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Nortel Government Solutions,unknown,unknown,unknown,unknown,unknown,unknown,unknown,government,unknown,government,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into government users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
NORTH51 Conference,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,1388,,NORTH51 Conference,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,1388,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Novoplan,,Australia,Woolloongabba,GIS / Esri partner,"Novoplan is a cutting edge software tool that takes the guesswork out of managing infrastructure charges and planning for local government, state authorities and utilities.Novoplan...",GIS and mapping platform,yes,unknown,unknown,unknown,unknown,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/novoplan-a2Tf2000005GukNEAS,,,,Novoplan,Australia,Woolloongabba,unknown,unknown,GIS and mapping platform,GIS / mapping platform,unknown,government; AEC / infrastructure; energy / utilities,SaaS,government; enterprise,GIS analyst; planner,unknown,unknown,unknown,unknown,unknown,unknown,GIS / mapping platform,Esri; Mapbox; CARTO; Felt; Atlas.co,Esri,partner-led,Partner-oriented GTM into government; enterprise accounts for GIS / mapping platform.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,GIS data,unknown,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.","Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.","Brooksie could use this for map rendering, visualization, geospatial UI components, or workflow integrations."
NOZOM for Production Technology,,Egypt,Cairo,GIS / Esri partner,NOZOM was found in 2012 with HW in Maadi - Cairo. focusing on developing the operational & production models in Energy Business ( O&G ...,"Application Development, Business Case Development, Data Conversion/Migration, Data Model & Database Design, GIS Strategy and Planning, Implementation, Needs and Requirements, System Architecture and Design, System Integration, Training Services",yes,unknown,unknown,unknown,unknown,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/nozom-for-production-a2T5x00000ACJZKEA5,,,,NOZOM for Production Technology,Egypt,Cairo,unknown,unknown,Geospatial consulting and integration services,consulting / integration services,unknown,AEC / infrastructure; energy / utilities,services,enterprise,GIS analyst; planner,unknown,unknown,services,unknown,unknown,Services and project fees,consulting / integration services,Esri partners; GIS consultancies; system integrators,Esri,partner-led,Partner-oriented GTM into enterprise accounts for consulting / integration services.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,GIS data; API integrations,unknown,"Partial competitor in analysis delivery services, but not a direct AI-native platform substitute.","Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this company as an implementation, data-collection, or channel partner."
Object Raku,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Object Raku,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Oblong Industries,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Oblong Industries,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
OneView Inspection Software,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,22,,OneView Inspection Software,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,SaaS,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,22,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
OnXR,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,https://www.linkedin.com/company/onxr/,https://www.linkedin.com/company/onxr/,168,,OnXR,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,168,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Open Source GEOINT,,,unknown,open-source geospatial library,open-source geospatial library,Open-source geospatial visualization library,unknown,unknown,unknown,unknown,unknown,unknown,,,,Open Source GEOINT,unknown,unknown,unknown,unknown,Open-source geospatial visualization library,open-source geospatial library,unknown,defense / intelligence,API,government,developer,unknown,unknown,unknown,unknown,unknown,unknown,open-source open-source geospatial library,kepler.gl; deck.gl; Mapbox,unknown,open source + paid,Developer-led adoption with open-source distribution and paid/commercial upsell.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,open source,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.","Brooksie could use this for map rendering, visualization, geospatial UI components, or workflow integrations."
OpsReady,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,3192,,OpsReady,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,3192,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Orbuculum (DLTEO GmbH),,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,105,,Orbuculum (DLTEO GmbH),unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,105,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Oriondata Internacional Spa,,,unknown,earth observation / Planet partner,Partner brand listed in the Planet partner directory.,"Earth observation, geospatial analytics, or satellite data services",yes,yes,unknown,unknown,yes,https://partner.planet.com/directory/s/list | https://partner.planet.com/directory/s/accountbrand/0TUHp0000000A5GOAU/oriondata-internacional-spa,,,,Oriondata Internacional Spa,unknown,unknown,unknown,unknown,"Earth observation, geospatial analytics, or satellite data services",earth observation analytics,geospatial analysis; satellite imagery analysis,unknown,services,enterprise,remote sensing analyst; data analyst,unknown,unknown,services,unknown,unknown,Services and project fees,earth observation analytics,Planet; Picterra; Brooksie AI; UP42,Planet,partner-led,Partner-oriented GTM into enterprise accounts for earth observation analytics.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,satellite imagery,unknown,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.",Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Pallavi Surveys,,India,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Pallavi Surveys,India,unknown,unknown,unknown,unknown,unknown,surveying,unknown,unknown,enterprise,surveyor,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
Panoramic Technologies,,India,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,Panoramic Technologies,India,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
PernixData,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,PernixData,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
PGTEK,,,unknown,,unknown,,unknown,unknown,unknown,unknown,unknown,unknown,,,,PGTEK,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,enterprise,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,unknown,direct,Direct website-led GTM into enterprise users for unknown.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,unknown,unknown,unknown,"Could use Brooksie to clarify vague spatial questions, automate research, and generate maps, insights, and reports faster.",unknown
