name,website,country,city,industry_category,short_description,products_services,uses_gis,uses_remote_sensing,uses_drones,uses_lidar,uses_satellite_data,source_links,linkedin_url,followers,estimated_revenue,company_name,hq_country,hq_city,founded_year,status,main_product_or_service,product_category,core_use_cases,industry_verticals,delivery_model,target_customer_type,target_roles,regions_served,notable_customers,pricing_model,pricing_public,entry_price_or_plan,revenue_model,key_differentiators,main_competitors,partnerships,channel,go_to_market_notes,employee_count,linkedin_followers,funding,estimated_revenue_or_proxy,web_traffic_proxy,recent_news_or_launches,last_verified_date,data_sources,tech_stack_or_platform_notes,competitive_with_brooksie,potential_customer_of_brooksie,brooksie_as_customer_of_them
GeoNeo LLC,https://geoneo.com/,,unknown,geospatial software / GIS,"Discover advanced geospatial solutions, imagery analysis, and custom software for government and commercial clients. Veteran-owned since 2017.","GIS, satellite data",yes,unknown,yes,yes,yes,https://geoneo.com/ | https://geoneo.com/pricing,,,,GeoNeo LLC,unknown,unknown,2017,active,"GIS, satellite data",earth observation analytics,map creation; data visualization; project tracking; satellite imagery analysis; drone mapping,government; AEC / infrastructure; energy / utilities; real estate; defense / intelligence,API; SaaS; mobile; services,government; enterprise,GIS analyst; planner; developer; project manager; drone operator,unknown,unknown,subscription,yes,$ 0,SaaS subscriptions,AI-native earth observation analytics,Planet; Picterra; Brooksie AI; UP42,Harvest,partner-led,Partner-oriented GTM into government; enterprise accounts for earth observation analytics.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,GIS data; satellite imagery; drone imagery; LiDAR / point clouds; location / POI data; API integrations,AI / machine learning; API-first; cloud platform,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.",Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Geoneon,https://geoneon.com/,Indonesia,unknown,geospatial jobs newsletter company mention,🇦🇺 Geoneon: Wildfire & Forest Scientist,🇦🇺 Geoneon: Wildfire & Forest Scientist,yes,yes,unknown,yes,yes,https://geospatial.substack.com/p/geospatial-jobs-125-feb-17-2026 | https://www.geoneon.com/ | https://www.geoneon.com/about/about-us | https://www.geoneon.com/solutions/wildfire | https://blog.geoneon.com/ | https://geoneon.com/,,,,Geoneon,Indonesia,unknown,unknown,active,🇦🇺 Geoneon: Wildfire & Forest Scientist,location data API,data visualization; satellite imagery analysis; surveying; reporting; collaboration,government; AEC / infrastructure; energy / utilities; environmental services; logistics / mobility,API; SaaS; services,government; SMB; enterprise,GIS analyst; planner; developer; surveyor; remote sensing analyst,Global,unknown,services,unknown,unknown,Services and project fees,"collaborative, AI-native, real-time location data API",Mapbox; Foursquare; Geocode.XYZ; Placekey,Planet,partner-led,Partner-oriented GTM into government; SMB; enterprise accounts for location data API.,unknown,unknown,unknown,unknown,unknown,Recent source: https://geospatial.substack.com/p/geospatial-jobs-125-feb-17-2026,2026-04-17,satellite imagery; LiDAR / point clouds; location / POI data; API integrations; weather / climate data,AI / machine learning; API-first; real-time collaboration,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Geonexus,https://geo-nexus.com/,United States,Ann Arbor,GIS / Esri partner,Geonexus is a software company with a focus on helping asset-intensive organizations operate more efficiently and solve complex business problems using enterprise technologies. Our purpose...,System Integration,yes,unknown,unknown,unknown,unknown,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/geonexus-a2T70000000TO3WEAW | https://geo-nexus.com/ | https://geo-nexus.com/platform/ | https://geo-nexus.com/one-trusted-operational-view-gis-enterprise-systems/ | https://geo-nexus.com/case-studies/ | https://geo-nexus.com/resources/blog/,,,,Geonexus,United States,Ann Arbor,unknown,acquired,System Integration,location data API,map creation; data visualization; field operations; project tracking; reporting,government; AEC / infrastructure; energy / utilities; logistics / mobility; retail / commerce,API; SaaS; mobile; services,consumer; government; enterprise,GIS analyst; planner; developer; project manager; field operations manager,Australia,unknown,services,unknown,unknown,Services and project fees,"AI-native, real-time location data API",Mapbox; Foursquare; Geocode.XYZ; Placekey,Esri; Safe Software / FME,partner-led,Partner-oriented GTM into consumer; government; enterprise accounts for location data API.,unknown,unknown,unknown,unknown,unknown,Blog - Geonexus,2026-04-17,GIS data; location / POI data; API integrations,AI / machine learning; API-first; cloud platform; real-time collaboration; no-code / low-code,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
GeoNode,https://geonode.org/,,unknown,geospatial / remote sensing,GeoNode geospatial / remote sensing GeoNode GeoNode is a web-based application and platform for developing geospatial information systems (GIS) and for deploying spatial data infrastructures...,Earth observation and imagery analytics platform,yes,yes,yes,unknown,yes,https://github.com/YanCheng-go/Awesome-Geospatial-Intelligence-Companies | https://geonode.org/ | https://geonode.org/faqs/,,,,GeoNode,unknown,unknown,unknown,active,Earth observation and imagery analytics platform,earth observation analytics,map creation; reporting,AEC / infrastructure,API; SaaS,consumer; enterprise,GIS analyst; planner; developer; remote sensing analyst,unknown,unknown,license,unknown,unknown,Software licensing,"browser-based, open-source earth observation analytics",Planet; Picterra; Brooksie AI; UP42,unknown,open source + paid,Developer-led adoption with open-source distribution and paid/commercial upsell.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,GIS data,browser-based; API-first; open source,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.",Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Geonov,https://geonov.com/,France,unknown,data integration / FME partner,Toggle navigation ActualitÃ©s Formations Produits Contact Geonov - Accueil Prestataire de services Geonov vous propose des prestations de services Ã la demande ou au forfait...,System Integrator,yes,unknown,unknown,unknown,unknown,https://fme.safe.com/partners/find-a-partner/ | https://fme.safe.com/partners/geonov/ | https://www.geonov.fr/ | https://www.geonov.fr/newsletters/ | https://geonov.com/,,,,Geonov,France,unknown,unknown,active,System Integrator,location data API,geocoding; route optimization,AEC / infrastructure,API; SaaS; services,enterprise,developer,France,unknown,services,unknown,unknown,Services and project fees,location data API,Mapbox; Foursquare; Geocode.XYZ; Placekey,Safe Software / FME,partner-led,Partner-oriented GTM into enterprise accounts for location data API.,unknown,unknown,unknown,unknown,unknown,Lettres d'information,2026-04-17,API integrations,API-first,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Geonovum,https://geonovum.nl/,Netherlands,unknown,geospatial data provider,Geonovum ontwikkelt de standaarden die nodig zijn om geo-informatie van de overheid toegankelijk en uitwisselbaar te maken. Ook helpen wij de overheid om geo-informatie beter...,Geospatial data and imagery service,yes,unknown,unknown,unknown,unknown,https://www.geonovum.nl/ | https://www.geonovum.nl/about-us | https://www.geonovum.nl/agenda/leveranciersoverleg-wro-plansoftware-en-overgangsrecht-0 | https://geonovum.nl/,,,,Geonovum,Netherlands,unknown,unknown,active,Geospatial data and imagery service,geospatial data provider,route optimization; reporting,government; AEC / infrastructure; agriculture,API; SaaS; services,government; enterprise,planner; developer,Europe,unknown,services,unknown,unknown,Services and project fees,geospatial data provider,Mapbox; Foursquare; Planet; HERE,Partner ecosystem,partner-led,Partner-oriented GTM into government; enterprise accounts for geospatial data provider.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,API integrations,API-first,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
GeoNovus,https://geonovus.lt/,,unknown,geospatial / remote sensing,"GeoNovus geospatial / remote sensing Trimble ir DJI Lietuvoje | GeoNovus GPS imtuvai, robotizuoti tacheometrai, 3D skeneriai, BIM, GIS duomenų kaupikliai, aerokartografavimo sprendimai, fotogrametrija, GNSS...",LiDAR and 3D geospatial platform,yes,yes,unknown,yes,unknown,https://www.pix4d.com/partners/ | https://www.geonovus.lt/ | https://www.geonovus.lt/technine-iranga/dji-mavic-3-enterprise | https://geonovus.lt/,,,,GeoNovus,unknown,unknown,unknown,active,LiDAR and 3D geospatial platform,LiDAR / 3D geospatial,route optimization; surveying,unknown,mobile,enterprise,GIS analyst; planner; developer; surveyor; remote sensing analyst,unknown,unknown,unknown,unknown,unknown,unknown,AI-native LiDAR / 3D geospatial,RIEGL; Pix4D; Bentley,Partner ecosystem,partner-led,Partner-oriented GTM into enterprise accounts for LiDAR / 3D geospatial.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,GIS data; LiDAR / point clouds; location / POI data,AI / machine learning; cloud platform,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
GeoNovus Eesti OÃ,https://geonovus.ee/,,unknown,geospatial / remote sensing,GeoNovus Eesti OÃ geospatial / remote sensing GeoNovus | Trimble Eesti Ruumiandmete tööriistad,LiDAR and 3D geospatial platform,yes,yes,unknown,yes,unknown,https://www.pix4d.com/partners/ | https://geonovus.ee/ | https://geonovus.ee/blog/,,,,GeoNovus Eesti OÃ,unknown,unknown,unknown,active,LiDAR and 3D geospatial platform,LiDAR / 3D geospatial,unknown,unknown,unknown,enterprise,GIS analyst; remote sensing analyst,unknown,unknown,unknown,unknown,unknown,unknown,AI-native LiDAR / 3D geospatial,RIEGL; Pix4D; Bentley,Partner ecosystem,partner-led,Partner-oriented GTM into enterprise accounts for LiDAR / 3D geospatial.,unknown,unknown,unknown,unknown,unknown,Blogi - GeoNovus | Trimble Eesti,2026-04-17,GIS data; LiDAR / point clouds; location / POI data,AI / machine learning,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
GeoNovus Latvija SIA,https://geonovus.lv/,,unknown,geospatial / remote sensing,"GEDO (4) Programmatūra (23) Objektu monitorings (6) Mērniecības aprīkojums/ Aksesuāri (69) Lietoti instrumenti Sākums Akcijas Par mums Serviss Pakalpojumi Noma Noteikumi Saites Kontakti EFEKTĪVI, PRODUKTĪVI...",Earth observation and imagery analytics platform,yes,yes,unknown,yes,unknown,https://www.pix4d.com/partners/ | https://www.geonovus.lv/ | https://geonovus.lv/,,,,GeoNovus Latvija SIA,unknown,unknown,unknown,active,Earth observation and imagery analytics platform,earth observation analytics,surveying,unknown,SaaS,enterprise,developer; surveyor; remote sensing analyst,unknown,unknown,unknown,unknown,unknown,unknown,earth observation analytics,Planet; Picterra; Brooksie AI; UP42,Partner ecosystem,partner-led,Partner-oriented GTM into enterprise accounts for earth observation analytics.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,LiDAR / point clouds,unknown,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.",Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
GeoOne,https://geoone.com.br/,,unknown,location data API,GeoOne GeoOne - Domine o QGIS Quer aprender Cartografia com Softwares Gratuitos,Location data and geocoding API,yes,unknown,yes,unknown,unknown,https://www.linkedin.com/company/geoone/ | https://geoone.com.br/ | https://geoone.com.br/pv3cliques/?utm_campaign=site | https://geoone.com.br/blog/,https://www.linkedin.com/company/geoone/,1361,,GeoOne,unknown,unknown,unknown,active,Location data and geocoding API,location data API,drone mapping; reporting,government; agriculture; retail / commerce,API; SaaS; desktop; mobile,government; enterprise,GIS analyst; planner; developer; drone operator; data analyst,unknown,unknown,unknown,yes,$697,unknown,open-source location data API,Mapbox; Foursquare; Geocode.XYZ; Placekey,unknown,open source + paid,Developer-led adoption with open-source distribution and paid/commercial upsell.,unknown,1361,unknown,unknown,unknown,Blog - GeoOne,2026-04-17,GIS data; drone imagery; location / POI data,open source; cloud platform,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
GeoOptics,https://geooptics.com/,Brazil,unknown,earth observation analytics,"GeoOptics creates the highest quality data on the Earth’s atmosphere, biosphere and hydrosphere for government, commercial, and research customers. Founded and led by a team...",Earth observation and imagery analytics platform,yes,yes,unknown,unknown,yes,https://geooptics.com/ | https://geooptics.com/about-3/ | https://geooptics.com/celebrating-national-oceans-month/ | https://geooptics.com/blog/,,,,GeoOptics,Brazil,unknown,unknown,acquired,Earth observation and imagery analytics platform,earth observation analytics,data visualization; satellite imagery analysis; collaboration,government; environmental services; agriculture; retail / commerce; mining,SaaS; mobile; services,government,planner; remote sensing analyst; data analyst,Global,unknown,subscription,yes,Free,SaaS subscriptions,"collaborative, AI-native earth observation analytics",Planet; Picterra; Brooksie AI; UP42,Planet,partner-led,Partner-oriented GTM into government accounts for earth observation analytics.,unknown,unknown,unknown,unknown,unknown,"Blog - GeoOptics, Inc.",2026-04-17,satellite imagery; weather / climate data,AI / machine learning; real-time collaboration,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.",Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Geoowl,https://geoowl.com/,Iraq,unknown,geospatial software / GIS,"Our industry-forward aerial & ground-based geospatial intelligence technology operated by elite, highly skilled teams are the solutions you can trust.",Earth observation and imagery analytics platform,yes,yes,yes,yes,yes,https://www.geoowl.com/ | https://www.geoowl.com/who-we-are/ | https://www.geoowl.com/insights/?c=9 | https://geoowl.com/,,,,Geoowl,Iraq,unknown,unknown,acquired,Earth observation and imagery analytics platform,earth observation analytics,geospatial analysis; data visualization; field operations; project tracking; satellite imagery analysis,government; AEC / infrastructure; energy / utilities; environmental services; retail / commerce,API; SaaS; services,consumer; government; SMB; enterprise,GIS analyst; planner; developer; project manager; drone operator,Global,unknown,license,unknown,unknown,Software licensing,"AI-native, open-source earth observation analytics",Planet; Picterra; Brooksie AI; UP42,Partner ecosystem,open source + paid,Developer-led adoption with open-source distribution and paid/commercial upsell.,unknown,unknown,unknown,unknown,unknown,Insights | Geo Owl | Learn More About Our Industry,2026-04-17,GIS data; satellite imagery; drone imagery; LiDAR / point clouds; API integrations,AI / machine learning; open source,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.",Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Geopard,https://geopard.tech/,Brazil,unknown,geospatial / remote sensing company,Geopard geospatial / remote sensing company Smart Farming and Precision Agriculture software by GeoPard Precision Agriculture software for Ag operations,Geospatial data and imagery service,yes,yes,unknown,yes,yes,https://geoawesome.com/global-top-100-geospatial-companies-2025/ | https://geopard.tech/,,,,Geopard,Brazil,unknown,unknown,active,Geospatial data and imagery service,geospatial data provider,route optimization; satellite imagery analysis; reporting,energy / utilities; environmental services; agriculture; retail / commerce,API; SaaS; mobile,SMB; enterprise,planner; developer; remote sensing analyst; data analyst,unknown,unknown,unknown,unknown,unknown,unknown,AI-native geospatial data provider,Mapbox; Foursquare; Planet; HERE,Esri; Planet; Harvest,marketplace,Marketplace-led distribution for geospatial data provider.,unknown,unknown,unknown,unknown,unknown,Recent source: https://geoawesome.com/global-top-100-geospatial-companies-2025/,2026-04-17,GIS data; satellite imagery; LiDAR / point clouds; location / POI data; API integrations; weather / climate data,AI / machine learning; API-first; cloud platform,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
GeoPard Agriculture,https://geopard.tech/,Brazil,unknown,earth observation / remote sensing company,Precision Agriculture software for Ag operations. Discover the full potential of your fields and improve agronomic decisions.,"remote sensing, satellite data, LiDAR",yes,yes,unknown,yes,yes,https://geopard.tech/,,,,GeoPard Agriculture,Brazil,unknown,unknown,active,"remote sensing, satellite data, LiDAR",earth observation analytics,route optimization; satellite imagery analysis; reporting,energy / utilities; environmental services; agriculture; retail / commerce,API; SaaS; mobile,SMB; enterprise,planner; developer; remote sensing analyst; data analyst,unknown,unknown,unknown,unknown,unknown,unknown,AI-native earth observation analytics,Planet; Picterra; Brooksie AI; UP42,Esri; Planet; Harvest,marketplace,Marketplace-led distribution for earth observation analytics.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,GIS data; satellite imagery; LiDAR / point clouds; location / POI data; API integrations; weather / climate data,AI / machine learning; API-first; cloud platform,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.",Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
GeoPera,https://geopera.com/,Australia,unknown,earth observation analytics,Pera Portal Talk To Us Toggle menu Geopera â Satellite Imagery and Geospatial Analytics The teams shaping the future choose better data Satellite imagery and...,Earth observation and imagery analytics platform,yes,yes,unknown,unknown,yes,https://www.linkedin.com/company/geopera/ | https://geopera.com/ | https://geopera.com/mining | https://geopera.com/pricing | https://geopera.com/blog,https://www.linkedin.com/company/geopera/,341,,GeoPera,Australia,unknown,unknown,active,Earth observation and imagery analytics platform,earth observation analytics,geospatial analysis; data visualization; field operations; satellite imagery analysis; reporting,government; AEC / infrastructure; energy / utilities; environmental services; agriculture,SaaS,consumer; government; enterprise,GIS analyst; planner; developer; remote sensing analyst; data analyst,Global,unknown,unknown,yes,$3,unknown,earth observation analytics,Planet; Picterra; Brooksie AI; UP42,Partner ecosystem,marketplace,Marketplace-led distribution for earth observation analytics.,unknown,341,unknown,unknown,unknown,Blog Posts | GEOPERA,2026-04-17,GIS data; satellite imagery; location / POI data,unknown,"Direct or partial competitor on geospatial analysis workflows, map outputs, and cross-source insight delivery.",Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Geoplana,https://geoplana.de/,Germany,Marbach am Neckar,geospatial software / GIS,"geoplana bietet aus einer Hand Bildflug, Vermessung, Geodaten und GIS-Betreuung",GIS,yes,unknown,unknown,unknown,unknown,https://www.geoplana.de/ | https://www.geoplana.de/jobs-im-team | https://www.geoplana.de/blog | https://geoplana.de/,,,,Geoplana,Germany,Marbach am Neckar,unknown,active,GIS,drone mapping platform,drone mapping,unknown,SaaS,consumer; enterprise,GIS analyst,Global,unknown,unknown,unknown,unknown,unknown,drone mapping platform,DroneDeploy; Pix4D; FlyPix AI,Partner ecosystem,partner-led,Partner-oriented GTM into consumer; enterprise accounts for drone mapping platform.,unknown,unknown,unknown,unknown,unknown,geoplana - Blog & FAQ,2026-04-17,GIS data,unknown,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Geoplex GIS GmbH,https://geoplex.de/,Germany,unknown,surveying / geospatial exhibitor,INTERGEO 2025 exhibitor.,"Surveying, mapping, geospatial, photogrammetry, lidar, or related products/services",yes,unknown,unknown,yes,unknown,https://dvw.de/intergeo/en/exhibitors-products/exhibitor-directory | https://dvw.de/api/assets/downloads/intergeo/report/intergeo_report_2025_web%5B98%5D.pdf | https://www.geoplex.de/ | https://www.geoplex.de/blog/ | https://geoplex.de/,,,,Geoplex GIS GmbH,Germany,unknown,unknown,active,"Surveying, mapping, geospatial, photogrammetry, lidar, or related products/services",location data API,drone mapping; surveying,government,API; services,consumer; government,GIS analyst; surveyor,Global,unknown,services,unknown,unknown,Services and project fees,location data API,Mapbox; Foursquare; Geocode.XYZ; Placekey,Partner ecosystem,partner-led,Partner-oriented GTM into consumer; government accounts for location data API.,unknown,unknown,unknown,unknown,unknown,Recent source: https://dvw.de/api/assets/downloads/intergeo/report/intergeo_report_2025_web%5B98%5D.pdf,2026-04-17,GIS data; LiDAR / point clouds; location / POI data,unknown,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
GeoPostcodes,https://geopostcodes.com/,Belgium,Bruxelles,GIS / Esri partner,"GeoPostcodes provides the worlds most comprehensive zip code data for Enterprise customers.Our database includes zip codes, cities, and administrative areas for 247 countries, available as...",Location data and geocoding API,yes,unknown,unknown,unknown,unknown,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/geopostcodes-a2T5x000009ChZAEA0 | https://www.geopostcodes.com | https://www.geopostcodes.com/boundaries-database/ | https://www.geopostcodes.com/pricing/?menu_click=Pricing | https://www.geopostcodes.com/blog/category/customer-stories/ | https://geopostcodes.com/,,,,GeoPostcodes,Belgium,Bruxelles,2009,acquired,Location data and geocoding API,location data API,map creation; geospatial analysis; data visualization; field operations; project tracking,government; AEC / infrastructure; energy / utilities; logistics / mobility; real estate,API; SaaS; services; on-prem,government; enterprise,GIS analyst; planner; developer; project manager; data analyst,Global,unknown,subscription,yes,Free,SaaS subscriptions,collaborative location data API,Mapbox; Foursquare; Geocode.XYZ; Placekey,Esri,marketplace,Marketplace-led distribution for location data API.,unknown,unknown,unknown,unknown,unknown,Customer Stories,2026-04-17,GIS data; location / POI data; API integrations,API-first; cloud platform; real-time collaboration,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,"Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Geops,https://geops.com/,,unknown,open-source geospatial library,"Wir entwickeln moderne Web-Applikationen auf Basis von Geo- und Echtzeitdaten. Unsere fachlichen Schwerpunkte sind öffentlicher Verkehr, Mobilität, Logistik und Umwelt. Bei der Auswahl von Technologien...",Open-source geospatial visualization library,yes,unknown,unknown,unknown,unknown,https://geops.com/de/about | https://geops.com/de/blog | https://geops.com/,,,,Geops,unknown,unknown,unknown,active,Open-source geospatial visualization library,open-source geospatial library,route optimization; reporting,logistics / mobility,API; SaaS,consumer,developer,unknown,unknown,subscription,unknown,unknown,SaaS subscriptions,open-source open-source geospatial library,kepler.gl; deck.gl; Mapbox,Partner ecosystem,open source + paid,Developer-led adoption with open-source distribution and paid/commercial upsell.,unknown,unknown,unknown,unknown,unknown,Blog | geOps,2026-04-17,location / POI data; API integrations,open source,unknown,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this for map rendering, visualization, geospatial UI components, or workflow integrations."
GEORAIL.solutions s.r.o.,https://georail.solutions/,,unknown,surveying / geospatial exhibitor,INTERGEO 2025 exhibitor.,"Surveying, mapping, geospatial, photogrammetry, lidar, or related products/services",yes,unknown,unknown,yes,unknown,https://dvw.de/intergeo/en/exhibitors-products/exhibitor-directory | https://dvw.de/api/assets/downloads/intergeo/report/intergeo_report_2025_web%5B98%5D.pdf | https://www.geraso.com/ | https://georail.solutions/,,,,GEORAIL.solutions s.r.o.,unknown,unknown,unknown,active,"Surveying, mapping, geospatial, photogrammetry, lidar, or related products/services",drone mapping platform,drone mapping; surveying,unknown,SaaS; services,enterprise,GIS analyst; surveyor,unknown,unknown,services,unknown,unknown,Services and project fees,drone mapping platform,DroneDeploy; Pix4D; FlyPix AI,unknown,direct,Direct website-led GTM into enterprise users for drone mapping platform.,unknown,unknown,unknown,unknown,unknown,Recent source: https://dvw.de/api/assets/downloads/intergeo/report/intergeo_report_2025_web%5B98%5D.pdf,2026-04-17,LiDAR / point clouds,unknown,Indirect competitor at most; this is closer to an input or data layer than Brooksie's planning-and-execution workspace.,Could use Brooksie internally to turn ad hoc geospatial questions into repeatable analysis workflows and reports.,"Brooksie could use this as a data source, imagery supplier, or API integration inside geospatial workflows."
Georeal,https://georeal.cz/,,unknown,surveying services,Georeal Georeal - Homepage Georeal - Homepage Přihlásit se Úvod Služby Řešení O nás Kariéra Kontakty Portál Introduction Services Solutions About us Contacts CZ ENG...,Surveying and geomatics services,yes,unknown,yes,unknown,unknown,https://georeal.cz/ | https://georeal.cz/en/o-spolecnosti,,,,Georeal,unknown,unknown,1991,active,Surveying and geomatics services,surveying services,drone mapping; surveying; reporting; collaboration,AEC / infrastructure; environmental services; logistics / mobility; mining,SaaS; mobile; services,consumer; SMB; enterprise,GIS analyst; planner; developer; surveyor,Global,unknown,services,unknown,unknown,Services and project fees,collaborative surveying services,Esri partners; surveying firms; drone mapping vendors,Esri,direct,Direct website-led GTM into consumer; SMB; enterprise users for surveying services.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,GIS data; drone imagery; location / POI data,cloud platform,"Partial competitor in analysis delivery services, but not a direct AI-native platform substitute.","Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this company as an implementation, data-collection, or channel partner."
Georeal Spol SRO,https://georeal.cz/,,Plzen,GIS / Esri partner,Georeal Spol SRO GIS / Esri partner Georeal - Homepage Georeal - Homepage Přihlásit se Úvod Služby Řešení O nás Kariéra Kontakty Portál Introduction Services...,Surveying and geomatics services,yes,unknown,yes,unknown,unknown,https://www.esri.com/en-us/about/partners/find-partner | https://www.esri.com/partners/georeal-spol-sro-a2T70000000TNSbEAO | https://georeal.cz/ | https://georeal.cz/en/o-spolecnosti,,,,Georeal Spol SRO,unknown,Plzen,1991,active,Surveying and geomatics services,surveying services,drone mapping; surveying; reporting; collaboration,AEC / infrastructure; environmental services; logistics / mobility; mining,SaaS; mobile; services,consumer; SMB; enterprise,GIS analyst; planner; developer; surveyor,Global,unknown,services,unknown,unknown,Services and project fees,collaborative surveying services,Esri partners; surveying firms; drone mapping vendors,Esri,partner-led,Partner-oriented GTM into consumer; SMB; enterprise accounts for surveying services.,unknown,unknown,unknown,unknown,unknown,unknown,2026-04-17,GIS data; drone imagery; location / POI data,cloud platform,"Partial competitor in analysis delivery services, but not a direct AI-native platform substitute.","Could use Brooksie to accelerate proposal scoping, multi-source analysis, and client-ready maps and reports.","Brooksie could use this company as an implementation, data-collection, or channel partner."
